Отметка времени;Как часто Вы переходите на красный свет?;Если Вы переходите на красный, то с чем это связано чаще всего?;Переходите ли Вы на красный, если видите, что другие пешеходы перебегают?;Перешли бы Вы дорогу на красный свет, если бы на дороге не было машин?;Перешли бы Вы дорогу на красный свет, если бы на дороге машины стояли в пробке?;Перейдите ли Вы дорогу, если Вам горит красный, а машины продолжают движение с небольшой скоростью?;Переходите ли Вы на красный сигнал, если у пешеходного перехода плохое освещение?;Переходите ли Вы на красный сигнал на пешеходных переходах, оборудованных кнопкой вызова зеленого?;Как Вы считаете, пойдут ли другие люди на красный при отсутствии машин, если запрещающий сигнал горит слишком долго?;Чувствуете ли Вы себя безопасно, переходя на красный сигнал?;Какое время Вы считаете приемлемым для ожидания зеленого, чтобы не было потребности перехода на красный?;При наличии ожидания, указанного Вами в вопросе выше, будете ли Вы переходить на красный?
4.30.2024 13:03:46;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Думаю, что не буду
4.30.2024 15:54:51;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
5.1.2024 8:35:39;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;40 секунд;Думаю, что не буду
5.1.2024 9:14:53;Несколько раз в месяц;Тороплюсь на работу/по делам;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;20 секунд;Думаю, что не буду
5.1.2024 18:36:50;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;50 секунд;Не перехожу на красный
5.1.2024 19:23:05;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;50 секунд;Думаю, что не буду
5.2.2024 17:24:25;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 17:30:15;Несколько раз в год;при условии, что улица узкая и на ней совсем нет машин;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
5.2.2024 17:52:20;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 18:10:27;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 18:10:37;Каждый день;Переход 2 метра, а светофор 90 сек;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;30 секунд;Думаю, что продолжу переходить на красный при необходимости
5.2.2024 18:15:36;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 18:29:44;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
5.2.2024 18:35:57;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 18:49:01;Несколько раз в месяц;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;20 секунд;Думаю, что не буду
5.2.2024 18:49:23;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
5.2.2024 19:06:47;Несколько раз в год;Нет приближающего транспорта;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;40 секунд;Думаю, что не буду
5.2.2024 19:07:20;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 19:11:43;Несколько раз в месяц;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;чувствую себя безопасно;30 секунд;Думаю, что не буду
5.2.2024 19:24:40;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Думаю, что продолжу переходить на красный при необходимости
5.2.2024 19:29:26;Несколько раз в месяц;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;20 секунд;Думаю, что не буду
5.2.2024 19:50:57;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
5.2.2024 20:08:01;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
5.2.2024 20:12:26;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что никто не пойдет;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 20:15:08;Несколько раз в год;Красный горит , но нет машин;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
5.2.2024 21:00:16;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 21:28:07;Несколько раз в неделю;Тороплюсь на работу/по делам;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;40 секунд;Думаю, что не буду
5.2.2024 21:43:50;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Да;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что продолжу переходить на красный при необходимости
5.2.2024 22:03:00;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Думаю, что продолжу переходить на красный при необходимости
5.2.2024 22:03:29;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
5.2.2024 22:12:37;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
5.2.2024 22:15:37;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 22:21:57;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 22:22:34;Несколько раз в неделю;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;20 секунд;Думаю, что не буду
5.2.2024 22:24:33;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
5.2.2024 22:29:17;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 22:50:33;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Думаю, что не буду
5.2.2024 23:04:00;Несколько раз в год;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
5.2.2024 23:14:14;Несколько раз в год;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что никто не пойдет;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.2.2024 23:34:22;Несколько раз в месяц;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
5.3.2024 0:27:47;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.3.2024 0:27:52;Каждый день;Один единственный светофор перехожу на красный. Он установлен на узкой однополосной дороге, где машины практически не ездят. Просто чувствую себя дурой на этой тропе, когда стою и жду зелёный. На всех других светофорах всегда жду зелёный.;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.3.2024 6:11:23;Несколько раз в месяц;В зоне видимости нет машин ;Перехожу на красный, даже если другие не перебегают;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;30 секунд;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 8:23:03;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 8:57:00;Несколько раз в год;Абсолютно пустая дорогая НЕ в часы пик;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Да;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;60 секунд;Думаю, что не буду
5.3.2024 8:57:04;Несколько раз в неделю;Отсутствие потока машин;Перехожу на красный, даже если другие не перебегают;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Да;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 9:24:00;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Менее 20 секунд;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 9:27:28;Несколько раз в год;Рано утром, когда нет никакого транспорта;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Думаю, что не буду
5.3.2024 10:20:41;Несколько раз в год;Крайне редко перехожу так, обычно во время ночных прогулок по городу. Когда нет транспорта.;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;чувствую себя безопасно;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 10:37:11;Несколько раз в год;Автомобили очень далеко.;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Перехожу;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
5.3.2024 10:57:16;Несколько раз в неделю;Нет транспорта, переход небольшой и можно быстро пройти;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 11:55:36;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Не перехожу на красный
5.3.2024 12:04:08;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
5.3.2024 14:31:06;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что никто не пойдет;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.3.2024 14:47:44;Несколько раз в год;Транспортных средств на дороге нет и не предвидится;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;чувствую себя безопасно;60 секунд;Думаю, что не буду
5.3.2024 15:21:44;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
5.3.2024 15:29:29;Несколько раз в месяц;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
5.3.2024 16:10:54;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.3.2024 17:24:18;Несколько раз в год;Тороплюсь на работу/по делам;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 17:42:47;Несколько раз в месяц;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Дождусь зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
5.3.2024 17:55:56;Несколько раз в месяц;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;20 секунд;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 18:59:46;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 20:05:57;Никогда;Светофор явно сломан, жду несколько минут и иду ;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
5.3.2024 20:55:59;Несколько раз в год;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.3.2024 21:26:04;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
5.3.2024 22:10:34;Несколько раз в год;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
5.3.2024 22:23:22;Несколько раз в месяц;Точно нет ни одной машины рядом в пределах десятков метров, ночь, никому плохого примера не подам (или ну очень сильно тороплюсь, а вокруг всё равно нет машин, и дорога не скользкая). );Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;50 секунд;Думаю, что не буду
5.3.2024 22:26:38;Несколько раз в неделю;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Менее 20 секунд;Думаю, что продолжу переходить на красный при необходимости
5.3.2024 22:54:18;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;50 секунд;Не перехожу на красный
5.4.2024 5:38:02;Несколько раз в неделю;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Перейду вне зависимости сколько осталось ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Да;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;60 секунд;Думаю, что продолжу переходить на красный при необходимости
5.4.2024 9:11:08;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
5.4.2024 9:22:13;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
5.4.2024 10:02:05;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
5.4.2024 10:28:22;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
